Category,Count,Percent
Year_2015_2022,40,44.94
Year_2023,9,10.11
Year_2024,15,16.85
Year_2025,25,28.09
Method_AI_Generic,45,50.56
Method_ML_Generic,30,33.71
Method_Computer_Vision,15,16.85
Method_Digital_Twins,7,7.87
Method_Soft_Sensors,6,6.74
Scale_Lab,45,50.56
Scale_Pilot,3,3.37
Scale_Industrial,5,5.62
Scale_Unspecified,36,40.45
