Metric,Model,k,Effect,SE,CI_Lower,CI_Upper,PI_Lower,PI_Upper,tau2,I2_percent,Q,p_heterogeneity,p_overall,I2_Interpretation
R2,DerSimonian-Laird,13,0.88,0.02,0.84,0.92,0.83,0.93,0.0001,72,45.71,0.0001,0,Substantial
RMSE,DerSimonian-Laird,9,0.13,0.015,0.1,0.16,0.09,0.17,0.0001,72,32.14,0.0002,0,Substantial
